Artist,Title,Label,Format,Released
10cc And Godley & Crème,Changing Faces - The Best Of,"Pro TV London, Pro TV London, Pro TV London"
ABC,The Lexicon Of Love,Neutron Records,"LP, Album"
Adam And The Ants,Prince Charming,CBS,"LP, Album
Alison Moyet,Alf,CBS,"LP, Album
Alison Moyet,Raindancing,"CBS, CBS","LP
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Domino,"LP
Arctic Monkeys,AM,Domino,"LP, Album
Arctic Monkeys,Favourite Worst Nightmare,Domino,"LP, Album
Arctic Monkeys,The Car,Domino,"LP, Album
Bad Company (3),Straight Shooter,Island Records,"LP, Album"
Biffy Clyro,Only Revolutions,14th Floor Records,"LP, Album
Billy Bragg,Life's A Riot With Spy Vs Spy,Utility,"12"", 45 RPM
Billy Joel,52nd Street,"CBS, CBS","LP
Blondie,Blondie,Chrysalis,"LP, Album
Blondie,Parallel Lines,Chrysalis,"LP, Album
Blondie,Plastic Letters,Chrysalis,"LP, Album"
Blondie,Eat To The Beat,Chrysalis,"LP, Album
Bob Dylan,Greatest Hits,CBS,"LP, Comp
Bob Dylan,More Bob Dylan Greatest Hits,"CBS, CBS","2xLP
Bob Dylan,Blood On The Tracks,"CBS, CBS","LP
Bob Dylan,Street-Legal,"CBS, CBS, CBS"
Bob Dylan,Infidels,CBS,"LP, Album"
Bob Dylan,Desire,CBS,"LP, Album
Bob Marley & The Wailers,Legend (The Best Of Bob Marley And The Wailers),Island Records,"LP, Comp
Boy Meets Girl,Reel Life,RCA,"LP, Album"
Breathe Panel,Lets It In,FatCat Records,"LP, Album"
Bright Eyes,"I'm Wide Awake, It's Morning",Dead Oceans,"LP
Bring Me The Horizon,2004-2013,BMG,"2xLP, Comp
Bruce Springsteen,Greetings From Asbury Park N.J.,CBS,"LP, Album
Bruce Springsteen,"The Wild, The Innocent &  The E Street Shuffle",CBS,"LP
Bruce Springsteen,Born To Run,"CBS, CBS","LP
Bruce Springsteen,Darkness On The Edge Of Town,"CBS, CBS, CBS"
Bruce Springsteen,The River,"CBS, CBS, CBS"
Bruce Springsteen,Born In The U.S.A.,CBS,"LP, Album
Bruce Springsteen,Tunnel Of Love,CBS,"LP, Album"
Bullet For My Valentine,Venom,"RCA, Sony Music","2xLP
Bullet For My Valentine,Bullet For My Valentine,"Spinefarm Records, Search And Destroy Records","LP
Buzzcocks,Love Bites,United Artists Records,"LP, Album
Carole King,Tapestry,"Epic, Epic, Ode Records (2)"
Coach Party,After Party,Chess Club Records,"10"" EP Ltd Ed Yel",2021
Coach Party,Nothing Is Real,Chess Club Records,"10"" EP",2022
Coves,Soft Friday,Nettwerk,"LP, Album"
"Crosby, Stills & Nash",CSN,"Atlantic, Atlantic"
"Crosby, Stills, Nash & Young",Déjà Vu,"Atlantic
Crowded House,Woodface,Capitol Records,"LP, Album
Culture Club,Colour By Numbers,"Virgin, Virgin, Virgin"
Daryl Hall & John Oates,Bigger Than Both Of Us,"RCA Victor, RCA Victor","LP
David Bowie,ChangesOneBowie,RCA Victor,"LP, Comp"
David Bowie,Let's Dance,EMI America,"LP, Album"
David Bowie,Tonight,"EMI America, EMI America, EMI America"
David Bowie,"""Heroes""",RCA International,"LP, Album
David Bowie,Never Let Me Down,"EMI America, EMI America","LP
Deep Purple,The Deep Purple Singles A's & B's,"Harvest, Harvest","LP
Deep Purple,Deepest Purple : The Very Best Of Deep Purple,"EMI, EMI","LP
Dennis Brown,Love & Hate (The Best Of Dennis Brown),"VP Records, VP Records","LP
Desmond Dekker,Rude Boy Ska,Burning Sounds,"LP, Red"
Dexys Midnight Runners,Searching For The Young Soul Rebels,Fame,"LP, Album
Don McLean,Tapestry,United Artists Records,"LP, Album"
Eagles,Their Greatest Hits (1971-1975),Asylum Records,"LP, Album
Eagles,Hotel California,Asylum Records,"LP, Album
Echo & The Bunnymen,Songs To Learn & Sing,"Korova, Korova","LP
Editors,An End Has A Start,Play It Again Sam,"LP, Album
Electric Light Orchestra,ELO's Greatest Hits,Jet Records,"LP, Comp"
Electric Light Orchestra,Discovery,"Jet Records, Jet Records","LP
Electric Light Orchestra / Olivia Newton-John,Xanadu (From The Original Motion Picture Soundtrack),JET Records,"LP, Album
Fleetwood Mac,Rumours,Warner Records,"LP, Album
Fontaines D.C.,Dogrel,Partisan Records,"LP, Album"
Fontaines D.C.,A Hero's Death,Partisan Records,"LP, Album"
Fontaines D.C.,Skinty Fia,Partisan Records,"2x12"", Album
Frankie Goes To Hollywood,Welcome To The Pleasuredome,ZTT,"2xLP, Album
Genesis,... And Then There Were Three...,Charisma,"LP, Album
Genesis,Duke,Charisma,"LP, Album
Georgie Fame & The Blue Flames,Back Again,K-tel,"LP, Album"
Gerry Rafferty,Night Owl,United Artists Records,"LP, Album"
Glen Campbell,Twenty Golden Greats,"Capitol, Capitol","LP
Goo Goo Dolls,Greatest Hits Volume One: The Singles,Warner Records,"LP, Comp"
Hazel O'Connor,Breaking Glass,A&M Records,"LP, Album"
Heaven 17,Penthouse And Pavement,Virgin,"LP, Album"
Heaven 17,The Luxury Gap,"Virgin, Virgin","LP
Heaven 17,How Men Are,Virgin,"LP, Album"
Heaven 17,Pleasure One,Virgin,"LP, Album"
Helen Reddy,I Am Woman,"Capitol Records, Fame","LP
Howard Jones,Human's Lib,"WEA, WEA","LP
Imagine Dragons,Night Visions,"KIDinaKORNER, Interscope Records","LP
Imagine Dragons,Evolve,"KIDinaKORNER, Interscope Records","LP
INXS,Kick,"Mercury, Mercury","LP
Iron Maiden,Piece Of Mind,"EMI, EMI","LP
Jackson Browne,The Pretender,"Asylum Records, Asylum Records, Asylum Records
Jackson Browne,Running On Empty,"Asylum Records, Asylum Records, Asylum Records
James Taylor (2),Mud Slide Slim And The Blue Horizon,"Warner Bros. Records, Warner Bros. Records, Warner Bros. Records
James Taylor (2),Sweet Baby James,Warner Bros. Records,"LP, Album
Japan,Assemblage,"Hansa International, Hansa International","LP
Jeff Beck,Everything You Always Wanted To Hear By Jeff Beck But Were Afraid To Ask For,Epic,"LP, Comp
Jimi Hendrix,The Essential Jimi Hendrix,Polydor,"2xLP, Comp
Joan Armatrading,Joan Armatrading,A&M Records,"LP, Album"
Joan Armatrading,Show Some Emotion,A&M Records,"LP, Album"
Joan Armatrading,To The Limit,A&M Records,"LP, Album"
Joan Armatrading,Steppin' Out,A&M Records,"LP, Album
Joan Armatrading,Me Myself I,A&M Records,"LP, Album"
Joan Armatrading,Track Record,A&M Records,"LP, Comp
Joan Armatrading,The Key,A&M Records,"LP, Album"
Joan Armatrading,Sleight Of Hand,A&M Records,"LP, Album"
John Lennon & Yoko Ono,Double Fantasy,"Geffen Records, Geffen Records, Geffen Records"
Joni Mitchell,Ladies Of The Canyon,Reprise Records,"LP, Album
Joni Mitchell,Blue,"Reprise Records, Reprise Records","LP
Joni Mitchell,Court And Spark,"Asylum Records, Asylum Records","LP
Judy Collins,Colors Of The Day (The Best Of Judy Collins),"Elektra, Elektra","LP
Judy Collins,Judith,Elektra,"LP, Album
Kaiser Chiefs,Employment,"B-Unique Records, Polydor","LP
Led Zeppelin,Led Zeppelin,"Atlantic, Atlantic","LP
Led Zeppelin,Led Zeppelin II,Atlantic,"LP, Album
Led Zeppelin,Led Zeppelin III,"Atlantic, Atlantic","LP
Led Zeppelin,Untitled,"Atlantic, Atlantic","LP
Led Zeppelin,Houses Of The Holy,"Atlantic, Atlantic","LP
Led Zeppelin,Physical Graffiti,Swan Song,"2xLP, Album
Led Zeppelin,Presence,Swan Song,"LP, Album
Led Zeppelin,In Through The Out Door,Swan Song,"LP, Album
Leonard Cohen,Songs Of Leonard Cohen,"CBS, CBS","LP
Leonard Cohen,I'm Your Man,"CBS, CBS","LP
Linkin Park,Hybrid Theory,"Warner Records, Machine Shop Recordings","LP
Lloyd Cole & The Commotions,Rattlesnakes,"Polydor, Polydor","LP
